date,month,day,cf,income_item,expense_item,dedu_item,content,amount,payment_type,user,group,entry_date,update_date
2025/4/15,4,15,支出,,副食物費,,イオン,1747,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/4/15,2025/4/15
2025/4/14,4,14,支出,,副食物費,,モリ,897,現金,67fee1aaaec9e540985a7c6f,67fee15caec9e540985a7c57,2025/4/14,2025/4/14
2025/4/14,4,14,支出,,副食物費,,ろぴあ,751,現金,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/4/14,2025/4/14
2025/4/14,4,14,支出,,娯楽費,,プール,300,モバイルSuica,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/4/14,2025/4/14
2025/4/13,4,13,支出,,車関連費,,駐車場,300,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/4/13,2025/4/13
2025/4/13,4,13,支出,,主食費2,,寿司活,6006,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/4/13,2025/4/13
2025/4/13,4,13,支出,,住宅・家具費,,ヨドバシ,15658,ヨドバシカメラ,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/4/13,2025/4/13
2025/4/12,4,12,支出,,職業費,,Suica,10000,ルミネ-JCB　知子,67fee1aaaec9e540985a7c6f,67fee15caec9e540985a7c57,2025/4/12,2025/4/12
2025/4/12,4,12,支出,,副食物費,,イオン,3088,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/4/12,2025/4/12
2025/4/9,4,9,支出,,娯楽費,,プール,300,ビックカメラSuica,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/4/9,2025/4/9
2025/4/9,4,9,支出,,副食物費,,生協4-2,9059,現金,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/4/9,2025/4/9
2025/4/9,4,9,支出,,調味料,,生協4-2,1441,現金,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/4/9,2025/4/9
2025/4/9,4,9,支出,,住宅・家具費,,生協4-2,471,現金,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/4/9,2025/4/9
2025/4/9,4,9,支出,,副食物費,,ドンキ,1232,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/4/9,2025/4/9
2025/4/8,4,8,支出,,副食物費,,イオン,3167,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/4/8,2025/4/8
2025/4/7,4,7,支出,,副食物費,,イオン,1373,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/4/7,2025/4/7
2025/4/6,4,6,支出,,調味料,,業務,664,ルミネ-JCB　知子,67fee1aaaec9e540985a7c6f,67fee15caec9e540985a7c57,2025/4/6,2025/4/6
2025/4/6,4,6,支出,,副食物費,,モリ,1401,現金,67fee1aaaec9e540985a7c6f,67fee15caec9e540985a7c57,2025/4/6,2025/4/6
2025/4/6,4,6,支出,,副食物費,,業務,2023,ルミネ-JCB　知子,67fee1aaaec9e540985a7c6f,67fee15caec9e540985a7c57,2025/4/6,2025/4/6
2025/4/6,4,6,支出,,娯楽費,,プール,300,ビックカメラSuica,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/4/6,2025/4/6
2025/4/6,4,6,支出,,副食物費,,Donki,798,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/4/6,2025/4/6
2025/4/5,4,5,支出,,副食物費,,鞍掛豆,680,現金,67fee1aaaec9e540985a7c6f,67fee15caec9e540985a7c57,2025/4/5,2025/4/5
2025/4/5,4,5,支出,,副食物費,,団子,800,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/4/5,2025/4/5
2025/4/4,4,4,支出,,娯楽費,,ルノアール,1170,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/4/4,2025/4/4
2025/4/4,4,4,支出,,娯楽費,,駐輪場,200,現金,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/4/4,2025/4/4
2025/4/4,4,4,支出,,娯楽費,,ランチ,1320,昌幸-PayPay,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/4/4,2025/4/4
2025/4/4,4,4,支出,,娯楽費,,飲み会,2563,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/4/4,2025/4/4
2025/4/4,4,4,支出,,娯楽費,,コンビニ,162,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/4/4,2025/4/4
2025/4/3,4,3,支出,,副食物費,,イオン,254,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/4/3,2025/4/3
2025/4/2,4,2,支出,,副食物費,,生協4-1,7443,現金,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/4/2,2025/4/2
2025/4/2,4,2,支出,,住宅・家具費,,生協4-1,997,現金,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/4/2,2025/4/2
2025/4/2,4,2,支出,,調味料,,生協4-1,3619,現金,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/4/2,2025/4/2
2025/4/1,4,1,収入,その他,,,職業安定,241780,現金,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/4/1,2025/4/1
2025/4/1,4,1,支出,,娯楽費,,プール　駐車場,300,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/4/1,2025/4/1
2025/4/1,4,1,支出,,副食物費,,ドンキ,1888,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/4/1,2025/4/1
2025/4/1,4,1,支出,,娯楽費,,プール,300,現金,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/4/1,2025/4/1
2025/3/31,3,31,支出,,副食物費,,イオン,1455,AEON-VISA 知子,67fee1aaaec9e540985a7c6f,67fee15caec9e540985a7c57,2025/3/31,2025/3/31
2025/3/31,3,31,支出,,保険・衛生費,,イオンポイント,0,現金,67fee1aaaec9e540985a7c6f,67fee15caec9e540985a7c57,2025/3/31,2025/3/31
2025/3/31,3,31,支出,,副食物費,,イオン,2276,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/31,2025/3/31
2025/3/30,3,30,支出,,職業費,,Suica,3000,ルミネ-JCB　知子,67fee1aaaec9e540985a7c6f,67fee15caec9e540985a7c57,2025/3/30,2025/3/30
2025/3/30,3,30,支出,,主食費2,,カミカゼ,1850,現金,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/30,2025/3/30
2025/3/30,3,30,支出,,主食費2,,ラーメン,1950,現金,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/30,2025/3/30
2025/3/29,3,29,支出,,副食物費,,カルディ,436,ルミネ-JCB　知子,67fee1aaaec9e540985a7c6f,67fee15caec9e540985a7c57,2025/3/29,2025/3/29
2025/3/29,3,29,支出,,交際費,,カルディ,1161,ルミネ-JCB　知子,67fee1aaaec9e540985a7c6f,67fee15caec9e540985a7c57,2025/3/29,2025/3/29
2025/3/29,3,29,支出,,調味料,,カルディ,950,ルミネ-JCB　知子,67fee1aaaec9e540985a7c6f,67fee15caec9e540985a7c57,2025/3/29,2025/3/29
2025/3/29,3,29,支出,,副食物費,,業務,1145,ルミネ-JCB　知子,67fee1aaaec9e540985a7c6f,67fee15caec9e540985a7c57,2025/3/29,2025/3/29
2025/3/29,3,29,支出,,住宅・家具費,,腕時計電池,1000,現金,67fee1aaaec9e540985a7c6f,67fee15caec9e540985a7c57,2025/3/29,2025/3/29
2025/3/29,3,29,支出,,娯楽費,,Netflix ,1590,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/29,2025/3/29
2025/3/29,3,29,支出,,車関連費,,"タイヤ交換
エンジンオイル　12L",13260,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/29,2025/3/29
2025/3/29,3,29,支出,,副食物費,,イオン,1010,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/29,2025/3/29
2025/3/28,3,28,支出,,職業費,,口紅,2750,ルミネ-JCB　知子,67fee1aaaec9e540985a7c6f,67fee15caec9e540985a7c57,2025/3/28,2025/3/28
2025/3/28,3,28,支出,,職業費,,口紅,2750,ルミネ-JCB　知子,67fee1aaaec9e540985a7c6f,67fee15caec9e540985a7c57,2025/3/28,2025/3/28
2025/3/28,3,28,支出,,副食物費,,りんご,480,現金,67fee1aaaec9e540985a7c6f,67fee15caec9e540985a7c57,2025/3/28,2025/3/28
2025/3/28,3,28,支出,,通信費,,Povo,330,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/28,2025/3/28
2025/3/28,3,28,支出,,娯楽費,,ドリーム,2145,昌幸-PayPay,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/28,2025/3/28
2025/3/27,3,27,支出,,娯楽費,,プール,300,現金,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/27,2025/3/27
2025/3/27,3,27,支出,,保険・衛生費,,アフラック,4040,現金,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/27,2025/3/27
2025/3/27,3,27,貯蓄,,保険・衛生費,,ソニー生命,22781,現金,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/27,2025/3/27
2025/3/26,3,26,支出,,副食物費,,生協3-4,5435,現金,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/26,2025/3/26
2025/3/26,3,26,支出,,住宅・家具費,,生協3-4,526,現金,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/26,2025/3/26
2025/3/25,3,25,支出,,副食物費,,イオン,149,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/25,2025/3/25
2025/3/25,3,25,支出,,娯楽費,,プール,300,現金,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/25,2025/3/25
2025/3/25,3,25,支出,,副食物費,,ドンキ,1285,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/25,2025/3/25
2025/3/24,3,24,支出,,教養費,,日暮里繊維,13219,ルミネ-JCB　知子,67fee1aaaec9e540985a7c6f,67fee15caec9e540985a7c57,2025/3/24,2025/3/24
2025/3/24,3,24,支出,,職業費,,有隣堂,489,モバイルSuica,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/24,2025/3/24
2025/3/23,3,23,支出,,副食物費,,生鮮市場さしみ,5386,ルミネ-JCB　知子,67fee1aaaec9e540985a7c6f,67fee15caec9e540985a7c57,2025/3/23,2025/3/23
2025/3/23,3,23,支出,,調味料,,生鮮市場,108,ルミネ-JCB　知子,67fee1aaaec9e540985a7c6f,67fee15caec9e540985a7c57,2025/3/23,2025/3/23
2025/3/23,3,23,支出,,教育費,,生鮮市場,699,ルミネ-JCB　知子,67fee1aaaec9e540985a7c6f,67fee15caec9e540985a7c57,2025/3/23,2025/3/23
2025/3/23,3,23,支出,,教育費,,アイス,597,現金,67fee1aaaec9e540985a7c6f,67fee15caec9e540985a7c57,2025/3/23,2025/3/23
2025/3/23,3,23,支出,,副食物費,,富沢,9559,ルミネ-JCB　知子,67fee1aaaec9e540985a7c6f,67fee15caec9e540985a7c57,2025/3/23,2025/3/23
2025/3/23,3,23,支出,,娯楽費,,AppleMusic,1980,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/23,2025/3/23
2025/3/23,3,23,支出,,車関連費,,駐車場,880,モバイルSuica,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/23,2025/3/23
2025/3/22,3,22,支出,,副食物費,,モリ,1211,現金,67fee1aaaec9e540985a7c6f,67fee15caec9e540985a7c57,2025/3/22,2025/3/22
2025/3/22,3,22,支出,,副食物費,,東急,1490,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/22,2025/3/22
2025/3/22,3,22,支出,,副食物費,,クリエイト,427,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/22,2025/3/22
2025/3/22,3,22,支出,,副食物費,,ドンキ,529,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/22,2025/3/22
2025/3/21,3,21,支出,,職業費,,草履,5800,ルミネ-JCB　知子,67fee1aaaec9e540985a7c6f,67fee15caec9e540985a7c57,2025/3/21,2025/3/21
2025/3/21,3,21,支出,,副食物費,,イオン,3478,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/21,2025/3/21
2025/3/20,3,20,支出,,副食物費,,イオン,1103,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/20,2025/3/20
2025/3/20,3,20,支出,,主食費2,,丸亀製麺,1140,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/20,2025/3/20
2025/3/19,3,19,支出,,住宅・家具費,,無印良品,580,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/19,2025/3/19
2025/3/19,3,19,支出,,副食物費,,生協3-3,8222,現金,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/19,2025/3/19
2025/3/18,3,18,支出,,特別費,,宅急便,840,現金,67fee1aaaec9e540985a7c6f,67fee15caec9e540985a7c57,2025/3/18,2025/3/18
2025/3/17,3,17,支出,,職業費,,ファミマ,289,現金,67fee1aaaec9e540985a7c6f,67fee15caec9e540985a7c57,2025/3/17,2025/3/17
2025/3/17,3,17,支出,,調味料,,イオン,1047,AEON-VISA 知子,67fee1aaaec9e540985a7c6f,67fee15caec9e540985a7c57,2025/3/17,2025/3/17
2025/3/17,3,17,支出,,交際費,,イオンアジサイ,496,AEON-VISA 知子,67fee1aaaec9e540985a7c6f,67fee15caec9e540985a7c57,2025/3/17,2025/3/17
2025/3/17,3,17,支出,,住宅・家具費,,無印良品,380,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/17,2025/3/17
2025/3/17,3,17,支出,,保険・衛生費,,床屋,690,現金,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/17,2025/3/17
2025/3/17,3,17,支出,,副食物費,,たい焼き,390,現金,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/17,2025/3/17
2025/3/17,3,17,支出,,副食物費,,オッケー,508,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/17,2025/3/17
2025/3/16,3,16,支出,,主食費2,,アイス,1056,現金,67fee1aaaec9e540985a7c6f,67fee15caec9e540985a7c57,2025/3/16,2025/3/16
2025/3/16,3,16,支出,,副食物費,,ウエルシア,1289,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/16,2025/3/16
2025/3/16,3,16,支出,,副食物費,,ヨーカドー,940,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/16,2025/3/16
2025/3/15,3,15,支出,,交際費,,登山のみ,2630,現金,67fee1aaaec9e540985a7c6f,67fee15caec9e540985a7c57,2025/3/15,2025/3/15
2025/3/15,3,15,支出,,教育費,,登山電車,2380,現金,67fee1aaaec9e540985a7c6f,67fee15caec9e540985a7c57,2025/3/15,2025/3/15
2025/3/15,3,15,支出,,職業費,,office,1360,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/15,2025/3/15
2025/3/15,3,15,支出,,車関連費,,電車,860,現金,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/15,2025/3/15
2025/3/15,3,15,支出,,車関連費,,電車,990,現金,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/15,2025/3/15
2025/3/14,3,14,支出,,通信費,,ahamo,2973,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/14,2025/3/14
2025/3/14,3,14,支出,,副食物費,,イオン,4201,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/14,2025/3/14
2025/3/14,3,14,支出,,副食物費,,イオン,1406,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/14,2025/3/14
2025/3/14,3,14,支出,,主食費2,,スシロー,3210,現金,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/14,2025/3/14
2025/3/13,3,13,支出,,職業費,,Suica,10000,ルミネ-JCB　知子,67fee1aaaec9e540985a7c6f,67fee15caec9e540985a7c57,2025/3/13,2025/3/13
2025/3/13,3,13,支出,,職業費,,チーク,1870,ルミネ-JCB　知子,67fee1aaaec9e540985a7c6f,67fee15caec9e540985a7c57,2025/3/13,2025/3/13
2025/3/13,3,13,支出,,通信費,,KDDI,6493,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/13,2025/3/13
2025/3/13,3,13,支出,,保険・衛生費,,損保ジャパン,1980,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/13,2025/3/13
2025/3/13,3,13,支出,,住宅・家具費,,"水道
水道　4477
下水　3031",7508,現金,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/13,2025/3/13
2025/3/12,3,12,支出,,主食費1,,サミット,591,ルミネ-JCB　知子,67fee1aaaec9e540985a7c6f,67fee15caec9e540985a7c57,2025/3/12,2025/3/12
2025/3/12,3,12,支出,,調味料,,ろぴあ,1477,ルミネ-JCB　知子,67fee1aaaec9e540985a7c6f,67fee15caec9e540985a7c57,2025/3/12,2025/3/12
2025/3/12,3,12,支出,,主食費1,,ろぴあ,410,ルミネ-JCB　知子,67fee1aaaec9e540985a7c6f,67fee15caec9e540985a7c57,2025/3/12,2025/3/12
2025/3/12,3,12,支出,,副食物費,,ろぴあ,684,ルミネ-JCB　知子,67fee1aaaec9e540985a7c6f,67fee15caec9e540985a7c57,2025/3/12,2025/3/12
2025/3/12,3,12,支出,,副食物費,,サミット,759,ルミネ-JCB　知子,67fee1aaaec9e540985a7c6f,67fee15caec9e540985a7c57,2025/3/12,2025/3/12
2025/3/12,3,12,支出,,副食物費,,イオン,436,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/12,2025/3/12
2025/3/12,3,12,支出,,特別費,,プール,300,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/12,2025/3/12
2025/3/12,3,12,支出,,通信費,,楽天モバイル,3281,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/12,2025/3/12
2025/3/10,3,10,支出,,職業費,,iCloud ,1500,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/10,2025/3/10
2025/3/10,3,10,支出,,保険・衛生費,,病院,1440,昌幸-PayPay,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/10,2025/3/10
2025/3/10,3,10,支出,,保険・衛生費,,薬,2600,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/10,2025/3/10
2025/3/10,3,10,支出,,副食物費,,生協3-2,8385,現金,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/10,2025/3/10
2025/3/10,3,10,支出,,住宅・家具費,,生協3-2,1157,現金,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/10,2025/3/10
2025/3/10,3,10,支出,,光熱費,,電気ガス,20879,現金,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/10,2025/3/10
2025/3/9,3,9,支出,,副食物費,,アピタ,609,ルミネ-JCB　知子,67fee1aaaec9e540985a7c6f,67fee15caec9e540985a7c57,2025/3/9,2025/3/9
2025/3/9,3,9,支出,,娯楽費,,大船散歩焼肉,1000,現金,67fee1aaaec9e540985a7c6f,67fee15caec9e540985a7c57,2025/3/9,2025/3/9
2025/3/9,3,9,支出,,娯楽費,,田谷の洞窟,1200,現金,67fee1aaaec9e540985a7c6f,67fee15caec9e540985a7c57,2025/3/9,2025/3/9
2025/3/8,3,8,支出,,保険・衛生費,,歯医者,4530,現金,67fee1aaaec9e540985a7c6f,67fee15caec9e540985a7c57,2025/3/8,2025/3/8
2025/3/8,3,8,支出,,副食物費,,イオン,919,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/8,2025/3/8
2025/3/8,3,8,支出,,通信費,,Povo,110,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/8,2025/3/8
2025/3/7,3,7,支出,,通信費,,Povo,330,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/7,2025/3/7
2025/3/7,3,7,支出,,副食物費,,東急,1635,昌幸-PayPay,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/7,2025/3/7
2025/3/6,3,6,支出,,職業費,,Amazon,5900,AmazonMaster,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/6,2025/3/6
2025/3/6,3,6,支出,,副食物費,,イオン,1645,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/6,2025/3/6
2025/3/6,3,6,支出,,副食物費,,ドンキ,837,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/6,2025/3/6
2025/3/6,3,6,支出,,住宅・家具費,,島忠,1196,昌幸-PayPay,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/6,2025/3/6
2025/3/5,3,5,支出,,副食物費,,業務,1917,ルミネ-JCB　知子,67fee1aaaec9e540985a7c6f,67fee15caec9e540985a7c57,2025/3/5,2025/3/5
2025/3/5,3,5,支出,,調味料,,業務,459,ルミネ-JCB　知子,67fee1aaaec9e540985a7c6f,67fee15caec9e540985a7c57,2025/3/5,2025/3/5
2025/3/5,3,5,支出,,主食費1,,業務,348,ルミネ-JCB　知子,67fee1aaaec9e540985a7c6f,67fee15caec9e540985a7c57,2025/3/5,2025/3/5
2025/3/5,3,5,支出,,副食物費,,アピタ,1030,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/5,2025/3/5
2025/3/4,3,4,支出,,副食物費,,コンビニ,589,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/4,2025/3/4
2025/3/4,3,4,支出,,副食物費,,アピタ,768,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/4,2025/3/4
2025/3/4,3,4,収入,その他,,,職業安定,241780,現金,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/4,2025/3/4
2025/3/3,3,3,支出,,副食物費,,イオン,1432,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/3,2025/3/3
2025/3/3,3,3,支出,,副食物費,,イオン,1557,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/3,2025/3/3
2025/3/3,3,3,支出,,住宅・家具費,,生協3-1,950,現金,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/3,2025/3/3
2025/3/3,3,3,支出,,副食物費,,生協3-1,9549,現金,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/3,2025/3/3
2025/3/2,3,2,支出,,教養費,,登山リュック,14300,ルミネ-JCB　知子,67fee1aaaec9e540985a7c6f,67fee15caec9e540985a7c57,2025/3/2,2025/3/2
2025/3/2,3,2,支出,,副食物費,,ヨーカドー,525,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/2,2025/3/2
2025/3/1,3,1,支出,,職業費,,Atom,330,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/1,2025/3/1
2025/3/1,3,1,支出,,特別費,,プール,300,ビックカメラSuica,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/1,2025/3/1
2025/3/1,3,1,支出,,副食物費,,イオン,600,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/3/1,2025/3/1
2025/2/28,2,28,支出,,副食物費,,イオン,420,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/2/28,2025/2/28
2025/2/28,2,28,支出,,副食物費,,イオン,1014,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/2/28,2025/2/28
2025/2/28,2,28,支出,,娯楽費,,Netflix,1590,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/2/28,2025/2/28
2025/2/28,2,28,支出,,車関連費,,ETC,5150,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/2/28,2025/2/28
2025/2/27,2,27,貯蓄,,保険・衛生費,,ソニー生命,22781,現金,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/2/27,2025/2/27
2025/2/27,2,27,支出,,保険・衛生費,,アフラック,4040,現金,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/2/27,2025/2/27
2025/2/27,2,27,支出,,車関連費,,"ガソリン
39.01L
",6827,Tカード-Aplus,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/2/27,2025/2/27
2025/2/27,2,27,支出,,副食物費,,成城石井,1101,昌幸-PayPay,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/2/27,2025/2/27
2025/2/26,2,26,支出,,調味料,,イオン,600,AEON-VISA 知子,67fee1aaaec9e540985a7c6f,67fee15caec9e540985a7c57,2025/2/26,2025/2/26
